,Unnamed: 0,id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary
0,0,141,awm.com,unreliable,http://awm.com/church-congregation-brings-gift-to-waitresses-working-on-christmas-eve-has-them-crying-video/,"sometimes power christmas make wild wonderful things need believe holy trinity believe positive power good others simple act giving without receiving lost many us days , worries money success hold us back giving others need one congregation ohio moved action power sermon given church christmas eve pastor grand lake united methodist church celina , ohio gave emotional sermon importance understanding message jesus many religious people message jesus help others bee , make sure people suffering get help need enjoy life little bit sermon really generosity look like lives jesus lived long time ago acted generously fashion time – would generous act look like times ? focus sermon potency sermon lost congregation , moved take action ! sermon ended , congregation decided take offering bowl passed around room everyone pitched could christmas eve words sermon still ringing ears offering ? members congregation drove local waffle house visit ladies working night shift great choice holy days everyone families ! ladies working waffle house clearly families choice work holy day paid bills congregation understood sacrifice made ladies , wanted help donated entire offering split amongst ladies waffle house total amounted $ 3,500 split amongst staff beautiful moment ! perfect example preacher talking sermon ! good deed like christmas really helped ease burden felt ladies working waffle house sure , could see families , least got little gift good people community perhaps best part whole event congregation ask anything return simple act generosity people understood pain felt another group sought alleviate pain speaks volumes merits church daily lives simple act brought entire community together showed empathy compassion special day year",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"Church Congregation Brings Gift to Waitresses Working on Christmas Eve, Has Them Crying (video)",Ruth Harris,,[''],,,
1,1,256,beforeitsnews.com,fake,http://beforeitsnews.com/awakening-start-here/2018/01/awakening-of-12-strands-of-dna-reconnecting-with-you-movie-10623.html,"awakening strands dna – “ reconnecting ” movie % readers think story fact add two cents headline bitcoin blockchain searches exceed trump ! blockchain stocks next ! [ january 24 , 2018 - zurichtimesnet ] miles johnston giving update , another case strange synchronicities goodness hidden inside tests trials , like follow whiterabbit rabbit hole type exercise researching strands dna came across articles , one particular strange synchronicity written exactly 1 year ago topic https//wwwyoutubecom/watch ? v=_6ze1mrs4bq https//wwwyoutubecom/watch ? v=2nkcdiic8jy strands dna war dna ? trailer awakening strands full video available paid video vimeo awakening strands – “ reconnecting ” vimeocom/ondemand/awakeningofstrands awakening strands – “ reconnecting ” sandra daroy vimeo watched full video , based strange synchronicities present within suggest use discernment always necessary end times https//vimeocom/ondemand/awakeningofstrands",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,AWAKENING OF 12 STRANDS of DNA – “Reconnecting with You” Movie,Zurich Times,,[''],,,
2,2,700,cnnnext.com,unreliable,http://www.cnnnext.com/video/18526/never-hike-alone-a-friday-the-13th-fan-film-full-movie-/,"never hike alone friday 13th fan film usa | 2017 | 54 min fan tribute friday 13th , never hike alone follows adventure never hike alone friday 13th fan film usa | 2017 | 54 min fan tribute friday 13th , never hike alone follows adventure blogger , kyle mcleod ( andrew leighty ) , uncovers long lost remains camp crystal lake solo backpacking trip ignoring campfire tales childhood , kyle 's search turns deadly makes grave mistake crossing path camp blood ’ legendary mass murderer , jason voorhees stranded est jason heels , kyle must push survival skills limits hopes survive night otherwise , 'll wind another lost victim cursed camp directed vincente disanti screenplay vincente disanti nathan mcleod based characters created sean cunningham victor miller ron kurtz starring andrew leighty kyle mcleod vincente disanti jason voorhees executive producers barry jay stitch carolyn gair sarah disanti producers kyle klein daniel evans matthew barrett co-producers steven squillante christopher thellas alexander thellas associate producers cody cameron christian ascencio lydia ascencio lynn hobson rene rivas mike whelan directors photography christopher thellas jd martz production designer brittany porter special make effects kelsey berk wardrobe stephen boyd-morales stunts jessica bennett bryan rest jason voorhees donny nichols kyle mcleod film editing lawrence gan sarah disanti unit stills photography ashly covington music ryan perez-daple “ run like hell ” written vincente disanti , jake gonsalves , lenny machado permed gonsalves , machado recorded elm street studios , new bedd , 2017 appears courtesy damn enchiladas “ another soul ” written permed trevor vaughan appears finally salao mix tape recorded colosseum , new bedd , 20 appears courtesy trevor vaughan mass glory records additional cast crew visit wwwimdbcom/title/tt5719786/ wwwwompstompfilmscom disclaimer production eft womp stomp films , llc volunteer associates never hike alone product fan fiction way affiliated , representative viacom/paramount film company , warner brothers , new line cinema , horror inc , friday 13th film property , characters project created fans , fans , show appreciation friday 13th franchise friday 13th october 2017 , project made free available care watch profit shall made viewing thank assisted bringing project life womp stomp films ever grateful time dedication project thank watching",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Never Hike Alone - A Friday the 13th Fan Film (Full Movie),,,[''],"Never Hike Alone: A Friday the 13th Fan Film     USA | 2017 | 54 minA fan tribute to Friday the 13th, Never Hike Alone follows an adventure blogger, Kyle McLeod",,
3,3,768,awm.com,unreliable,http://awm.com/elusive-alien-of-the-sea-caught-by-scientist-for-one-of-the-first-times-ever-video/,"rare shark caught , scientists left blundering answers shark unique feature ’ survive extreme depths live extended period time shark ’ unique trait extend jaw telescoping fashion beyond mouth ’ ever seen hit science fiction movie “ alien , ” shark monster made manifest earth shark stalks prey lashes telescoping teeth snatch large fish swallow one bite ’ deadly predator deep sea besides telescoping teeth , shark glow dark recently discovered back 1986 three decades since first found , select exotic shark species found routine survey donghe township taiwan , country ’ fisheries research institute found five horrifying deep-sea sharks team notably horrified described “ obvious feature needle-shaped teeth , like snake-like fangs also origin viper shark name ” ’ right beast called viper shark tell name , ferocious prey although researchers gotten hands animals , little known researchers think creatures swim 300-400 meters surface ocean day 150 meters night could temperature changes something light ? last five specimens trawled depth 350 meters surface sea four already dead living specimen immediately immersed cool seawater could handle sudden change habitat perished day later viper sharks look like alien monster movie , feed humans main food sources crustaceans bony fishes one favorite lunch items lanternfish creatures might attracted toward shark glow-in-the-dark bodies swim close enough , shark lashes extendable jaw snatches fish devours whole first specimens viper shark found coast shikoku island japan 1986 bottom-trawler vessel seiryo-maru first haul creatures surface sea fish new discovery time , ’ scientific name honors seiryo-maru captain , hiromichi kabeya shark ’ scientific name trigonognathus kabeyai although much fish known , scientists classify dogfish shark found deep parts pacific ocean would react shark came end fishing line ? would think nightmare ?",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Elusive ‘Alien Of The Sea ‘ Caught By Scientist For One Of The First Times Ever (video),Alexander Smith,,[''],,,
4,4,791,bipartisanreport.com,clickbait,http://bipartisanreport.com/2018/01/21/trumps-genius-poll-is-complete-the-results-have-americans-bursting-with-laughter/,"donald trump unnerving ability ability create reality convince millions americans says true problem president lying believes lies new poll shows get country deep trouble new abc news/washington post poll came president ’ physician gave physical mental exam doctor gave trump clean bill health , added inch height , claimed fit serve seven years poll able capture americans ’ opinions new book came indicating people around trump questioned emotional stability ability hold office addition , new poll gave respondents time hear trump tell public “ stable genius ” bee interviewed said ‘ actually , throughout life , two greatest assets mental stability , like , really smart ’ abc/washington post poll discovered 21 percent people interviewed believed president genius left full 73 percent saw lie , question trump ’ mental stability poll found nearly even divide throughout nation asked president stable , 47 percent interviewed said , 48 percent believed stable abc news/washington post poll taken january 15 18 , 2018 random sample consisted 1,005 adults interviewed landline cell phone english spanish margin error +/- 35 percentage points featured image via getty images/drew angerer",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Trump’s Genius Poll Is Complete & The Results Have Americans Bursting With Laughter,Gloria Christie,,[''],,,
5,5,899,blackagendareport.com,unreliable,https://blackagendareport.com/articlelist/Media%20and%20Culture,“ republicans democrats alike willing turn government coffers bezos ilk rights people damned ”,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Black Agenda Report,"Margaret Kimberley, Bar Editor, Senior Columnist, Glen Ford, Bar Executive Editor, Nellie Bailey, Kyle Fraser, Black Agenda Radio Producer, Nellie Bailiey",,[''],,,
6,6,1058,awarenessact.com,conspiracy,http://awarenessact.com/tag/waking-up-in-the-morgue/,could imagine waking morgue ? one would traumatized life ! 29-year-old prisoner name gonzalo montoya jimenez found unresponsive cell morning ro…,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,waking up in the morgue – Awareness Act,Gerald Sinclair,,[''],,,
7,7,1376,beforeitsnews.com,fake,http://beforeitsnews.com/home/featuredlist/v2_top_citizen_journalist.html,"citizen journalist nmorgan q released several new posts last 48 hours , hitting bulls eye according q , explosive info releases could start second american revolution q begin releasing inmation elite 's involvement child sex abuse",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Citizen Journalist,,,[''],,,
8,8,1411,beforeitsnews.com,fake,http://beforeitsnews.com/economy/2018/01/usa-dollar-tanks-on-mnuchin-statement-that-he-wants-a-lower-dollar-value-2931673.html,"usa dollar tanks mnuchin statement wants lower dollar value headline bitcoin blockchain searches exceed trump ! blockchain stocks next ! harvey organ , harvey organ blog usa index breaks 90 ends 8925/usa 10 yr bond note 265 % /gold rises $ 2500 $ 135715/silver rises 56 cents $ 1750 breaks huge $ 1725 resistance/monstrous issue gold efps ,223/huge silver efp issuance 2598 contracts/huge 265 tonnes gold added gld/nothing added slv/huge number swamp stories tonight gold $ 135715 $ 2500 silver $ 1750 56 cents closing access prices gold $ 135900 silver $ 1757 shanghai gold fix first fix 10 15 pm est ( 215 shanghai local time ) second fix 215 est ( 615 shanghai local time ) shanghai first gold fix $ 134877 dollars per oz ny price gold exact time $ 134115 premium first fix $ 762 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx second shanghai gold fix $ 135846 ny gold price exact time $ 134300 premium shanghai 2nd fix/ny $ 1546 shanghai rejects ny /london pricing gold xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx london first gold fix 530 est $ 135050 ny pricing exact time $ 134980 london second gold fix 10 $ 135370 ny pricing exact time $ 135525 comex gold january/ number notices filed today january contract 8 notice ( ) 800 oz total notices far 692 69200 oz ( 21524 tonnes ) , silver january 10 notice ( ) filed today 50,000 oz/ total number notices filed far month 726 3,630,000 oz xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bitcoin bid $ 10,947/offer $ 11,047 $ 171 ( morning ) bitcoin bid $ 11,108/offer $ 11,2 $ 332 ( closing/4 pm ) end let us look data today xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx silver , total open interest fell tiny 76 contracts 200,061 falling 199,985 yesterday ’ 6 cent loss silver pricing thus minimal comex liquidation however , notified another huge sized number comex longs transferring contracts london efp route 2598 efp ’ march zero months thus total issuance 2598 contracts however movement across london severe gold seems major players willing take banks comex still , transfer 2598 contracts , cme stating silver ( gold ) delivered upon comex must export obligation london also keep mind delay 24 hrs issuing efp ’ accumulation efp ’ s/silver/ starting first day notice/ month january 37,797 contracts ( 17 trading days total 37,797 contracts 18898 million oz average per day 2223 contracts 11116 million oz/day ) give idea huge supply month silver far month 18898 million paper oz morphed london represents around 2699 % annual global production result tiny sized loss oi comex despite 6 cent loss silver price usually indicates another failed banker short-covering also huge sized efp issuance 2598 contracts exited silver comex transferred oi london wards speculators continued interest attacking silver comex physical silver cme data 2598 efp ’ issued today deliverable ward contract london fiat bonus really gained 2522 oi contracts ie 2598 open interest contracts headed london ( efp ’ ) together decrease 76 oi comex contracts happened fall price silver 6 cents closing price $ 1692 respect yesterday ’ trading yet still good amount silver standing comex ounces comex , oi still represented 1 billion oz ie 0999 billion exact 141 % annual global silver production ( ex russia ex china ) new front january month/ filed 10 notice ( ) 50,000 oz silver gold , open interest surprisingly rose considerable 96 contracts to582,421 good sized rise price gold yesterday ’ trading ( $ 555 ) another huge development , received total number gold efp ’ issued wednesday totaled humongous sized ,223 contracts february saw 11,023 contracts issued april saw issuance 00 contracts new oi gold complex rests 583,590 also remember delay issuance efp ’ bankers remove long positions comex gold immediately orchestrate private efp deal longs could take additional 48 hrs generally get match respect departing comex longs new efp long transfers demand gold intensifies greatly continue witness huge number efp transfers together massive increase gold comex oi together total amount gold ounces standing january comex even though bankers issued monstrous efps , obligation still rests bankers supply metal transfers risk london banker obligation new york comex obligation longs receive fiat bonus together long london ward thus , actions , bankers comex stated appreciable metal ! ! massive fraud supply metal comex longs quite willing supply massive non backed gold ( silver ) paper knowing metal satisfy longs london severely backward gold silver ( big rise gofo sifo ) witnessing delays actual deliveries essence today huge gain 21,349 contracts 96 oi contracts increased comex good sized ,223 oi contracts navigated london expect huge numbers efp ’ issued approach first day notice gold feb comex contract , wednesday jan 3018 yesterday , 11,759 efp ’ issued accumulation efp ’ s/ gold ( exchange physical ) month january starting first day notice 164,474 contracts 16474 million oz 541 tonnes ( 17 trading days thus averaging 9674 efp contracts per trading day 967,400 oz/day ) give idea huge size efp transfers far month 17 trading days tonnes 513 tonnes total annual gold production , 2017 , throughout world ex china ex russia 2200 tonnes thus efp transfers represents 474/2200 tonnes = 2331 % global annual production far january alone result shockingly strong sized increase oi comex fair sized rise price gold trading yesterday ( $ 555 ) another gigantic sized number comex long transferring london efp route ,223 obviously seem much physical gold comex yet also observed huge delivery month month december guess explains huge issuance efp ’ s…there hardly gold present gold comex delivery purposes take account ,223 efp contracts issued , net gain open interest 21,349 contracts two exchanges ,223 contracts move london 9,6 contracts increased comex ( tonnes , gain total oi equates 7003 tonnes ) 8 notice ( ) filed upon 800 oz gold xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx respect two criminal funds , gld slv gld gold $ 2500 , huge change gold inventory gld/a deposit 265 tonnes inventory rests tonight 84932 tonnes slv/ big changes silver inventory slv/a huge withdrawal 1131 million oz slv inventory/ inventory rests 313048 million oz/ end first , outline discussed tonight 1 today , open interest silver fell tiny 76 contracts 200,061 199,985 ( little new comex record set friday/april 21/2017 234,787 ) fall price silver tune 5 cents respect yesterday ’ trading bankers used emergency procedure issue another good 2598 private efp ’ march ( get look contracts private cftc audit ) 0 efp ’ months efp ’ give comex longs fiat bonus plus deliverable product london zero comex silver comex liquidation take oi loss comex 76 contractsto 2598 oi transferred london efp ’ obtain big gain 2522 open interest contracts still good amount silver ounces standing metal january ( see ) net gain today oz two exchanges 61 million oz ! ! ! result small sized decrease silver oi comex despite tiny fall 6 cents price ( respect yesterday ’ trading ) also another strong 2598 efp ’ issued transferring comex longs london together good sized amount silver ounces standing january , demand physical silver intensifies witness major bank short covering accompanied increases gofo sifo rates indicating scarcity ( report harvey ) 2a ) shanghai london gold fix report ( harvey ) 2 b ) gold/silver trading overnight europe , goldcore ( mark ’ byrne/zerohedge ny bloomberg 3 asian affairs ) late tuesday night/wednesday morning shanghai closed 96 points 037 % /hang sang closed 2799 pts 008 % / nikkei closed 18397 points 076 % /australia ’ ordinaires closed 029 % /chinese yuan ( onshore ) closed well 63748/oil 6463 dollars per barrel wti 6991 brent stocks europe opened red onshore yuan closed dollar 62748 offshore yuan closed onshore yuan 63732//onshore yuan much stronger dollar/off shore much stronger dollar/ dollar ( index ) much weaker major currencies china happy today ( good markets/weaker usa dollar ) read @ harveyorganblogcom source https//wwwsgtreportcom/articles/2018/1/25/usa-dollar-tanks-on-mnuchin-statement-that-he-wants-a-lower-dollar-value",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Usa Dollar Tanks On Mnuchin Statement That He Wants A Lower Dollar Value,,,[''],,,
9,9,1422,canadafreepress.com,conspiracy,http://canadafreepress.com/article/its-not-really-president-trump-who-needs-his-mouth-washed-out-with-soap,"subscribe canada free press free neither rev rodriguez pope francis , president trump , addressing crowd satellite ’ really president trump needs mouth washed soap throwing spotlight so-called men cloth ’ president donald trump needs mouth washed soap allegedly made use vulgar ‘ ’ word white house meeting immigration ’ getting around words painful cuss words , particularly heap praise abortion advocates “ members president trump ’ evangelical advisory council decided jump ship day publicly sided nancy pelosi daca ( redstate , jan 18 , 2018 ) “ always taken lead commitment immigrant community ‘ dreamers ’ second none america better place prophetic leadership matter , ” revsamuel rodriguez , spoke trump ’ inauguration last year , told pelosi press conference thursday ” prophetic ? really ? ” pelosi , course , one loudest advocates abortion ever elected , coming second mer president barack obama , champion partial birth abortion sincere rev rodriguez raised name president donald trump prayer inauguration ? discomfited president ’ use expression denied using , rev rodriguez , member “ unofficial ” evangelical advisory board president national hispanic christian leadership conference noted “ every single person created image god ” spoke welcoming people equally nigeria norway , albeit “ rigorous vetting process ” “ later day , said “ addition , great due deference , believe comments attributed president best described wrong , inappropriate , hurtful ? god looks nations , sees children ” ( yahoo , jan 15 , 2018 ) go without saying creator sees among “ children , millions babies killed mother ’ wombs sadly , pastor one hypocritically regards president ’ alleged use ‘ ’ word preach-worthy open advocation abortion ’ tad hypocritical , downright sanctimonious vatican newspaper , l ’ osservatore romano would try wash-his-mouth-with-soap stance latest alleged expletive president donald trump ? know president trump ’ alleged use ‘ ’ word tattle-taled internet world catholic us senator dick durbin , went straight media report vulgarity “ repeatedly ” used white house meeting immigration tattletale dicky durbin continued newspaper , l ’ osservatore romano—the vatican ’ flagship—gave trump ’ comments immigration debate united states , front page attention , noting comments immediately sparked “ controversy indignation ” never mind trump denies using term mercifully , newspaper print vulgar word automatically spiralled democrats full-on faux rage , none ’ vulgar expletives rile people words indiscriminately used honor abortion advocates as—if more—offensive faithful pro-life catholics must thought ‘ ’ word reading twitter abortion advocate lilianne ploumen , mer minister eign trade development cooperation netherlands , recently honored pope francis title ‘ commander pontifical equestrian order st gregory great ’ one tweet turned troubling true “ lepanto institute able confirm december 22 , 2017 dutch radio broadcast ploumen indeed received honor brief video clip promoting broadcast , ploumen displays medal saying received pope ( lepanto institute , jan , 2018 ) “ say lilianne ploumen “ pro-abortion ” extreme understatement ’ even come close scandalous reality activism “ january last year , us president donald trump reinstated mexico city policy , ploumen launched new ngo called decides provide mass amounts funds organizations would longer receive funds us government mexico city policy automatically denies us funding international organizations perm promote abortion “ referring mexico city policy “ global gag rule , ” ploumen stated intention decides continue support existing programs run organizations united nations population fund ( unpfa ) , international planned parenthood federation marie stopes international said , “ successful effective programs direct support , distributing condoms , making sure women accompanied birth , making sure abortion safe choice ” lepanto institute continues ploumen profile “ ploumen ’ anti-catholic activity ’ restricted abortion september 2017 , ploumen participated united nations lgbti core group first speaker event , ploumen noted “ lgbti rights human rights ” opening remarks , said , “ complacent [ today ] 70 countries homosexuality still criminalized…stigma lgbt people continue world ” “ 2014 , ploumen ended eign aid country uganda passing bill banning sodomy same-sex “ marriage ” february 2010 , ploumen called lgbt activists descend upon disrupt mass st john baptist cathedral , wearing pink triangles words “ jesus excludes one ” “ reason ? pro-lgbt activists protesting church ’ moral teaching regarding homosexuality ” continued already know pope francis profiles president donald trump “ 2016 , response question then-candidate trump ’ views immigration intention build wall along us border mexico , francis said man views “ christian ” ( reuters , jan , 2018 ) “ trump , grew presbyterian family , shot back saying “ disgraceful ” pope question faith ” actions speak much louder cuss words thousands taking part 2018 march life today neither rev rodriguez pope francis , president trump , addressing crowd satellite copyright © canada free press rss feed judi mcleod judi mcleod award-winning journalist 30 years ’ experience print media mer toronto sun columnist , also worked kingston whig standard work appeared rush limbaugh , newsmaxcom , drudge report , foxnewscom older articles judi mcleod please adhere commenting policy avoid banned privately owned website , reserve right remove comment ban user timecomments contain spam , advertising , vulgarity , threats violence , racism , anti-semitism , personal abusive attacks users may removed result ban -- follow instructions registering",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,It’s Not Really President Trump Who Needs His Mouth Washed Out With Soap,"Judi Mcleod, Because Without America, There Is No Free World.",,[''],,,
