Unnamed: 0.1,Unnamed: 0,id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary
2,2,700,cnnnext.com,unreliable,http://www.cnnnext.com/video/18526/never-hike-alone-a-friday-the-13th-fan-film-full-movie-/,"never hike alone friday 13th fan film usa | 2017 | 54 min fan tribute friday 13th , never hike alone follows adventure never hike alone friday 13th fan film usa | 2017 | 54 min fan tribute friday 13th , never hike alone follows adventure blogger , kyle mcleod ( andrew leighty ) , uncovers long lost remains camp crystal lake solo backpacking trip ignoring campfire tales childhood , kyle 's search turns deadly makes grave mistake crossing path camp blood ’ legendary mass murderer , jason voorhees stranded est jason heels , kyle must push survival skills limits hopes survive night otherwise , 'll wind another lost victim cursed camp directed vincente disanti screenplay vincente disanti nathan mcleod based characters created sean cunningham victor miller ron kurtz starring andrew leighty kyle mcleod vincente disanti jason voorhees executive producers barry jay stitch carolyn gair sarah disanti producers kyle klein daniel evans matthew barrett co-producers steven squillante christopher thellas alexander thellas associate producers cody cameron christian ascencio lydia ascencio lynn hobson rene rivas mike whelan directors photography christopher thellas jd martz production designer brittany porter special make effects kelsey berk wardrobe stephen boyd-morales stunts jessica bennett bryan rest jason voorhees donny nichols kyle mcleod film editing lawrence gan sarah disanti unit stills photography ashly covington music ryan perez-daple “ run like hell ” written vincente disanti , jake gonsalves , lenny machado permed gonsalves , machado recorded elm street studios , new bedd , 2017 appears courtesy damn enchiladas “ another soul ” written permed trevor vaughan appears finally salao mix tape recorded colosseum , new bedd , 20 appears courtesy trevor vaughan mass glory records additional cast crew visit wwwimdbcom/title/tt5719786/ wwwwompstompfilmscom disclaimer production eft womp stomp films , llc volunteer associates never hike alone product fan fiction way affiliated , representative viacom/paramount film company , warner brothers , new line cinema , horror inc , friday 13th film property , characters project created fans , fans , show appreciation friday 13th franchise friday 13th october 2017 , project made free available care watch profit shall made viewing thank assisted bringing project life womp stomp films ever grateful time dedication project thank watching",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Never Hike Alone - A Friday the 13th Fan Film (Full Movie),,,[''],"Never Hike Alone: A Friday the 13th Fan Film     USA | 2017 | 54 minA fan tribute to Friday the 13th, Never Hike Alone follows an adventure blogger, Kyle McLeod",,
7,7,1376,beforeitsnews.com,fake,http://beforeitsnews.com/home/featuredlist/v2_top_citizen_journalist.html,"citizen journalist nmorgan q released several new posts last 48 hours , hitting bulls eye according q , explosive info releases could start second american revolution q begin releasing inmation elite 's involvement child sex abuse",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Citizen Journalist,,,[''],,,
9,9,1422,canadafreepress.com,conspiracy,http://canadafreepress.com/article/its-not-really-president-trump-who-needs-his-mouth-washed-out-with-soap,"subscribe canada free press free neither rev rodriguez pope francis , president trump , addressing crowd satellite ’ really president trump needs mouth washed soap throwing spotlight so-called men cloth ’ president donald trump needs mouth washed soap allegedly made use vulgar ‘ ’ word white house meeting immigration ’ getting around words painful cuss words , particularly heap praise abortion advocates “ members president trump ’ evangelical advisory council decided jump ship day publicly sided nancy pelosi daca ( redstate , jan 18 , 2018 ) “ always taken lead commitment immigrant community ‘ dreamers ’ second none america better place prophetic leadership matter , ” revsamuel rodriguez , spoke trump ’ inauguration last year , told pelosi press conference thursday ” prophetic ? really ? ” pelosi , course , one loudest advocates abortion ever elected , coming second mer president barack obama , champion partial birth abortion sincere rev rodriguez raised name president donald trump prayer inauguration ? discomfited president ’ use expression denied using , rev rodriguez , member “ unofficial ” evangelical advisory board president national hispanic christian leadership conference noted “ every single person created image god ” spoke welcoming people equally nigeria norway , albeit “ rigorous vetting process ” “ later day , said “ addition , great due deference , believe comments attributed president best described wrong , inappropriate , hurtful ? god looks nations , sees children ” ( yahoo , jan 15 , 2018 ) go without saying creator sees among “ children , millions babies killed mother ’ wombs sadly , pastor one hypocritically regards president ’ alleged use ‘ ’ word preach-worthy open advocation abortion ’ tad hypocritical , downright sanctimonious vatican newspaper , l ’ osservatore romano would try wash-his-mouth-with-soap stance latest alleged expletive president donald trump ? know president trump ’ alleged use ‘ ’ word tattle-taled internet world catholic us senator dick durbin , went straight media report vulgarity “ repeatedly ” used white house meeting immigration tattletale dicky durbin continued newspaper , l ’ osservatore romano—the vatican ’ flagship—gave trump ’ comments immigration debate united states , front page attention , noting comments immediately sparked “ controversy indignation ” never mind trump denies using term mercifully , newspaper print vulgar word automatically spiralled democrats full-on faux rage , none ’ vulgar expletives rile people words indiscriminately used honor abortion advocates as—if more—offensive faithful pro-life catholics must thought ‘ ’ word reading twitter abortion advocate lilianne ploumen , mer minister eign trade development cooperation netherlands , recently honored pope francis title ‘ commander pontifical equestrian order st gregory great ’ one tweet turned troubling true “ lepanto institute able confirm december 22 , 2017 dutch radio broadcast ploumen indeed received honor brief video clip promoting broadcast , ploumen displays medal saying received pope ( lepanto institute , jan , 2018 ) “ say lilianne ploumen “ pro-abortion ” extreme understatement ’ even come close scandalous reality activism “ january last year , us president donald trump reinstated mexico city policy , ploumen launched new ngo called decides provide mass amounts funds organizations would longer receive funds us government mexico city policy automatically denies us funding international organizations perm promote abortion “ referring mexico city policy “ global gag rule , ” ploumen stated intention decides continue support existing programs run organizations united nations population fund ( unpfa ) , international planned parenthood federation marie stopes international said , “ successful effective programs direct support , distributing condoms , making sure women accompanied birth , making sure abortion safe choice ” lepanto institute continues ploumen profile “ ploumen ’ anti-catholic activity ’ restricted abortion september 2017 , ploumen participated united nations lgbti core group first speaker event , ploumen noted “ lgbti rights human rights ” opening remarks , said , “ complacent [ today ] 70 countries homosexuality still criminalized…stigma lgbt people continue world ” “ 2014 , ploumen ended eign aid country uganda passing bill banning sodomy same-sex “ marriage ” february 2010 , ploumen called lgbt activists descend upon disrupt mass st john baptist cathedral , wearing pink triangles words “ jesus excludes one ” “ reason ? pro-lgbt activists protesting church ’ moral teaching regarding homosexuality ” continued already know pope francis profiles president donald trump “ 2016 , response question then-candidate trump ’ views immigration intention build wall along us border mexico , francis said man views “ christian ” ( reuters , jan , 2018 ) “ trump , grew presbyterian family , shot back saying “ disgraceful ” pope question faith ” actions speak much louder cuss words thousands taking part 2018 march life today neither rev rodriguez pope francis , president trump , addressing crowd satellite copyright © canada free press rss feed judi mcleod judi mcleod award-winning journalist 30 years ’ experience print media mer toronto sun columnist , also worked kingston whig standard work appeared rush limbaugh , newsmaxcom , drudge report , foxnewscom older articles judi mcleod please adhere commenting policy avoid banned privately owned website , reserve right remove comment ban user timecomments contain spam , advertising , vulgarity , threats violence , racism , anti-semitism , personal abusive attacks users may removed result ban -- follow instructions registering",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,It’s Not Really President Trump Who Needs His Mouth Washed Out With Soap,"Judi Mcleod, Because Without America, There Is No Free World.",,[''],,,
15,15,2033,christianpost.com,reliable,https://www.christianpost.com/news/luis-palau-and-sons-announce-that-popular-evangelist-has-stage-4-lung-cancer-see-here-214417/,"( screenshot youtube ) andrew , luis kevin palau give health update , january 18 , 2018 kevin , andrew , luis palau stood together thursday make shocking announcement beloved world-renowned evangelist luis palau diagnosed stage 4 lung cancer '' wanted tape video tell whole world love dad work 's going dad 's life , '' kevin , president luis palau ministries , said social media video posted thursday proceeded share father fell ill busy fall season , returned overseas trip uk believed chest cold n't go away family convinced luis go doctor '' surprise , early report got bee christmas [ said ] cancer inside one dad 's lungs , '' kevin explained got extra testing done went oncologist revealed terminal diagnosis '' days ago got word 's stage 4 lung cancer 's shock , especially someone 's always healthy dad , '' continued son said made video people join prayer luis shared heart concerning everything '' n't hospital one night except broke bone back 1984 missions london , '' esteemed argentinian evangelist shared '' , first thing cry think 'oh wow , gone months ' one silly thought came mind wo n't able pick phone talk boys hear voice talk wife , '' luis emotionally shared '' sad , n't feel panic horror , [ 'm ] healed , hallelujah ! many people praying lord miracle would take literally miracle medically speaking stage 4 big time '' went say peace felt immediately least 10 years ago elected son , kevin , president ministry andrew anointed evangelist '' everything ready lord wants take home next two months two years , 'm ready , '' loving father maintained sons looked heartbroken smiles luis said 's going continue living one day time despite sad prognosis still feels good shared scripture keeping encouraged isaiah 4110 , says , `` fear , ; dismayed , god strengthen help ; uphold victorious righteous right arm '' '' know lord , holy spirit indwelling , us , go , go presence lord , '' luis testified also shared 2 timothy 4 apostle paul says , `` time departure '' 83-year-old began cry thought leaving family say still intends complete mission trips planned throughout world year god gives strength '' thank prayers , thank loving us , thank support , '' luis said ended portion andrew concluded video saying 's many restless nights past couple days '' got read proverbs early could n't wait come see face , '' told dad quoted proverbs 15 , says , `` evidence happy heart cheerful face '' '' think 're facing 're facing day day see happy face , 's proof 're peace , '' andrew stated '' beg pray dad mom , '' asked viewers luis ministry 50 years palau association collaborated thousands churches hundreds cities around world life point 's made impact top global cities london , hong kong , singapore , chicago , moscow , madrid , mexico city , buenos aires , washington , dc , reporter attendance 2015 rallied 1,000 new york city churches together make history big apple one biggest evangelical moves new york city approximately 60,000 people gathered hear gospel worship palau association coordinated hundreds citywide campaigns like dozens nations , including major evangelistic festivals five continents stay date luis ' condition , go palauorg watch full family announcement spanish facebook",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Luis Palau Diagnosed With Stage 4 Lung Cancer,,,[''],"Kevin, Andrew, and Luis Palau all stood together on Thursday to make the shocking announcement that beloved world-renowned evangelist Luis Palau was diagnosed with Stage 4 lung cancer.",,
16,16,2350,breakpoint.org,unreliable,http://breakpoint.org/category/signs-and-wonders/page/3/,"signs wonders snap bible clear christians compassion poor however , federal government ’ sread",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Signs and Wonders Archives,Warren Cole Smith,,[''],,"Human Rights & Persecution, Marriage & Family, Arts & Entertainment, Transformed Lives, Worldview, Environment, Church Issues, Religion & Society, Crime & Justice, Wealth & Poverty, Sports, Books, Ethics, Sexual Ethics, Inspiration, Technology, Health & Science, Media, Education, Military, Trends, Politics & Government, Business and Economics, Pro-Life, History, International Affairs, Youth Issues",
18,18,2736,canadafreepress.com,conspiracy,http://canadafreepress.com/article/neo-stalinism-and-the-polish-challenge,"subscribe canada free press free totalitarian system ready tolerate heretics within realm hates president trump , strives undermine israel , defames victor orban , seeks bring poland knees -- striving striving sovereignty neo-stalinism polish challenge courts turned leverage destruction national democracies totalitarian system late december , european commission announced punitive measures poland using so-called “ nuclear option ” , article 7 lisbon treaty reason decision warsaw limit power judges eu considered infringement “ freedom , democracy rule law ” fact , “ nuclear option ” eu relation freedom , democracy , rule law goal establish totalitarian supranational system poland , leading country visegrad fronde , order supersede democratic national institutions power judicial system democratic state guard rights citizens together executive legislative powers , must guarantee “ enjoyment life liberty ” free citizens ( virginia declaration rights 1776 ) , according jeremy bentham , founder british utilitarianism , ensure “ greatest happiness greatest number ” problem judges real huge power however unlike heads states , governments parliamentarians , elected anyone , provides solid ground manipulation today , judicial system turned disgusting parody ; supported politicians , academia , media ngos , powerful lever used prominent people promote ideology political correctness multiculturalism goal ideology ethnic cultural substitution , consequence , islamization actively displayed , although concealed 2001 , mer french interior minister jean-pierre chevenement called integration 75 million migrants africa asia within 50 years july 2008 , chief justice england wales lord phillips declared inevitable recognize sharia courts great britain september 2015 , peak crisis migrants , journalist ralf schuler ( “ bild ” ) reported eu planning receive additional 5 million refugees asia africa september 2017 , eu financed exhibition brussels called “ islam , ’ also history ! ” according isabelle benoit , historian tempora organization , “ want make clear europeans islam part civilization ” february 22 , president france emmanuel macron said “ french culture exist culture france diverse… french art ? never seen ! ” according finance minister germany wolfgang sch√§uble , germans need learn humanistic values islam , islam “ constituent part germany ” aim realized three stages stage one - corruption society , imposition barbarous archaic customs , destruction national culture , eradication judeo-christian values stage two - support islamic occupation migrant violence , legalization sharia stage three - suppression dissent levels obvious healthy cohesive society would resist turning slavery theree necessary undermine foundations , swap values virtue presented evil , barbarity - cultural originality , abnormality - norm courts main leverage game examples phenomenon may 2013 , british court decided grant political asylum 27-year-old kenyan john thuo thuo , leader murderous mungiki sect , personally butchered 400 compatriots machete took part disgusting female genital mutilation ritual 2006 , party called “ charity , freedom diversity , ” advocates legalization pedophilia , kinds drugs , bestiality child pornography , registered netherlands continued august 2013 , swedish court set free sture bergwall - sadist cannibal confessed raped , tortured , eaten victims february 2007 , german court released mer member red army faction ( raf ) brigitte mohnhaupt , murdered 9 people 1970s ’ express regret crimes july 2017 , national health service ( nhs ) reported 5,391 cases female genital mutilations although disgusting procedure banned uk 1985 , single person convicted marginal part thousands similar verdicts , guise humanism human rights impose chaos kinds perversions hand , christian values also consistently destroyed french court ordered removal cross statue pope saint john paul ii plo√´rmel , violated law imposing strict separation church state august 2017 , dutch prosecutors found nothing illegal filming porn movie church confessional january 2018 , british high court decided , right homosexuals equality “ take precedence ” right christians manifest beliefs moral values ( telegraph ) foundation society undermined , second stage destruction begins rule law , laws applied citizens - otherwise idea democracy justice loses meaning today , parallel sharia law legally operates western europe called laws jungle reign “ black holes ” “ no-go-zones ” , courts condone lawlessness savagery period 1999 2001 , two teenage girls fontenay-sous-bois ( outside paris ) gang-raped 14 muslim teenagers ten acquitted , two persons sentenced one year prison , one person sentenced six months prison , last one 14 given suspended sentence january 2006 , french jew , ilan halimi , kidnapped gang calling “ barbarians , ” headed yusuf fofana tortured , doused gasoline burned alive 24 members gang sentenced terms 6 months 18 years two “ barbarians ” freed may 2016 , school lund ( sweden ) muslim migrant teen raped 14-year-old girl girl transferred , rapist remained school punished 100 hours detention october 2016 , gothenburg district court sentenced migrant abdul 10 months youth care ( ! ) raping 14-year-old girl , supreme court western sweden abrogated abdul suffered adhd syndrome ’ understand “ ” july 2017 , malm√∂ district court sentenced 19-year-old afghan muslim migrant one month prison raping 13-year-old boy according official statistics , every fifth migrant rapist sweden ( 13 percent migrant pedophiles ) deported home countries - afghanistan , pakistan , somalia iraq characteristic sweden particular december 2016 vienna , 20-year-old amir iraq raped 10-year-old boy toilet swimming pool district court sentenced six years , austrian supreme court overturned “ lack evidence ” december 2013 , british high court concluded abdul-hakim belhaj , ex-leader islamist group fought gaddafi regime , “ well-founded claim ” mer head counter-terrorism mi6 , mark allen continued pakistani members rochdale child sex abuse ring ( exception leader shabir ahmed ) sentenced ridiculous terms 4 9 years 2014 , 40-year-old preacher suleman maknojioa accused harassing 11-year-old girl sentenced 40 weeks ’ imprisonment , stay prison single day family ’ breadwinner germany january 2017 , 47-year-old syrian migrant sentenced one year 9 months imprisonment raping mentally disabled woman— “ drunk , unpredictable ” time committed 23 various offenses , including assault , robbery fare evasion march , migrant machete attacked 80-year-old man d√ºsseldorf remained free hamburg , 6 people injured two migrants used tear gas train remained free dresden-zschachwitz station , two asylum seekers morocco libya pushed 40-year-old man onto tracks oncoming train miraculously survived chief prosecutor dropped charges hundreds similar examples… june year , three underage muslim migrants severely raped 5-year-old girl idaho court room lawyers advocated called “ boys ” decent trustworthy suffered post traumatic stress ( ptsd ) april 20 , sake “ freedom expression ” spanish supreme court freed 9 islamists planning terrorist attacks name “ liberation spain ” western legal system openly sabotages decisions executive legislative branches power best evidence courts blocking trump ’ ban reception migrants middle east nothing humanism , since need help , deprived ’ christians yezidis september 2017 , britain denied refuge 34-year-old nneka obazee - nigerian lesbian woman stepchild , although doomed death penalty home country happened , poor woman tried commit suicide israel , high court justice deliberately replaces executive branch prevents destruction houses terrorists deportation terrorists , cooperates leftist ngos demolish jewish houses , blocks deportation illegal african migrants third world countries eu laws literally ensure safety terrorists imam abdelbaki es satty , organized terrorist attack barcelona , brought trial drug related charges 2014 , judge pablo de la rubia dismissed deportation , deemed violation eu laws august 20 , two al-qaeda terrorists , one plotted kill thousands people bomb attack british shopping center , applied european court human rights mi5 officials european court allowed application go ahead european court human rights british court appeal ’ deport abu qatad , palestinian al-qaeda activist , hashemite kingdom 10 years “ humanitarian considerations ” third stage elimination dissenters age social status stalin asserted repression based laws , indeed stalin ’ terror based progressive stalinist constitution 1936 legislation western countries , quite liberal , opens limitless possibilities justice french pioneered path muslim colonization starting point way ethnic cultural substitution , according eric zemmur , pleven law racism ( 1972 ) , supplemented even radical laws germany went even deciding set censorship - fines $ 56,000,000 “ hate speech ” —in order protect freedom speech , according ex-justice minister heiko maas last major successful case deprivation parliamentary immunity marin le pen french prosecutor ’ office published images isis atrocities twitter swedish prosecutor ’ office accused peter springare , police officer orebro , spreading hatred racism list police reports compiled one week naming criminals countries origin aboriginals defenseless face colonial barbarians , judicial system sides latter always everywhere mere suspicion islamophobia cause fatal consequences august 2017 , 53-year-old man stockholm hit 5000 kroner fine eating bacon sandwich front three muslim women wearing headscarves may 2017 , 70-year-old swedish woman dalarna prosecuted inciting hatred like muslim teenagers “ set fire cars , urinated defecated streets ” 2016 , 35-year-old kevin crehan made joke leaving half-eaten sandwich bacon doorstep mosque bristol accused racist attack , sentenced one year prison died strange circumstances doubt purity islam ruthlessly punished august 2017 , german journalist michael st√ºrzenberger sentenced half-year prison posting photo facebook ranking nazi shaking hands amin al-husseini—the grand mufti jerusalem totalitarian system ready tolerate heretics within realm ’ hates president trump much ’ strives undermine israel , defames victor orban seeks bring poland knees—because striving sovereignty national democracy alexander maistrovoy author “ agony hercules farewell democracy ( notes stranger ) ” , published recently xlibris , available amazon barnes noble alexander maistrovoy graduate moscow univ journalism , worked field made aliyah 1988 works russian language newspaper novosty nedely , articles posted many internet sites authored “ ways god ” different religious ethnic groups holy land , mark kotliarsky russian book jewish atlántida please adhere commenting policy avoid banned privately owned website , reserve right remove comment ban user timecomments contain spam , advertising , vulgarity , threats violence , racism , anti-semitism , personal abusive attacks users may removed result ban -- follow instructions registering",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Neo-Stalinism and the Polish Challenge,"Alexander Maistrovoy, Because Without America, There Is No Free World.",,[''],,,
25,25,3399,canadafreepress.com,conspiracy,http://canadafreepress.com/article/canada-employment-minister-hints-pro-abortion-pledge-could-be-expanded-to-o,"canada – canadian government representative repeatedly refused say whether requirement employers sign pro-abortion attestation order receive summer job grants may expanded government programs prime minister justin trudeau liberal government require employers affirm support abortion transgender “ rights ” order receive government grants hire students summer facing backlash around world , even liberal media outlets—more…",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Canada Employment minister hints pro-abortion pledge could be expanded to other grants,"News On The Net, Because Without America, There Is No Free World.",,[''],,,
26,26,3448,beforeitsnews.com,fake,http://beforeitsnews.com/space/2018/01/a-black-hole-is-pushing-the-stars-around-in-this-globular-cluster-2511096.html,"black hole pushing stars around globular cluster headline bitcoin blockchain searches exceed trump ! blockchain stocks next ! astronomers fascinated globular clusters ever since first observed 17th century spherical collections stars among oldest known stellar systems universe , dating back early universe galaxies beginning grow evolve clusters orbit centers galaxies , 150 known belong milky way alone one clusters known ngc 3201 , cluster located 16,300 light years away southern constellation vela using eso ’ large telescope ( vlt ) paranal observatory chile , team astronomers recently studied cluster noticed something interesting according study released , cluster appears black hole embedded study appeared monthly notices royal astronomical society title “ detached stellar-mass black hole candidate globular cluster ngc 3201 “ study led benjamin giesers georg-august-university göttingen included members liverpool john moores university , queen mary university london , leiden observatory , institute astrophysics space sciences , eth zurich , leibniz institute astrophysics potsdam ( aip ) sake study , team relied multi unit spectroscopic explorer ( muse ) instrument vlt observe ngc 3201 instrument unique way allows astronomers measure motions thousands far away stars simultaneously course observations , team found one cluster ’ stars flung around speeds several hundred kilometers hour period 167 days giesers explained eso press release “ orbiting something completely invisible , mass four times sun — could black hole ! first one found globular cluster directly observing gravitational pull ” finding rather unexpected , constitutes first time astronomers able detect inactive black hole heart globular cluster – meaning currently accreting matter surrounded glowing disc gas also able estimate black hole ’ mass measuring movements star around thus extrapolating enormous gravitational pull observed properties , team determined rapidly-moving star 08 times mass sun mass black hole counterpart around 436 times sun ’ mass put ’ “ stellar-mass black hole ” category , stars exceeds maximum mass allowance neutron star , smaller supermassive black holes ( smbhs ) – exist centers galaxies finding highly significant , first time astronomers observed stellar-mass black hole globular cluster addition , confirms scientists suspecting years , thanks recent radio x-ray studies globular clusters detection gravity wave signals basically , indicates black holes common globular clusters previously thought “ recently , assumed almost black holes would disappear globular clusters short time systems like even exist ! ” said giesers “ clearly case – discovery first direct detection gravitational effects stellar-mass black hole globular cluster finding helps understanding mation globular clusters evolution black holes binary systems – vital context understanding gravitational wave sources ” find also significant given relationship black holes globular clusters remains mysterious , highly important one due high masses , compact volumes , great ages , astronomers believe clusters produced large number stellar-mass black holes course universe ’ history discovery could theree tell us much mation globular clusters , black holes , origins gravitational wave events sure enjoy eso podcast explaining recent discovery reading eso , mnras post black hole pushing stars around globular cluster appeared first universe today source https//wwwuniversetodaycom/138292/black-hole-pushing-stars-around-globular-cluster/",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,A Black Hole is Pushing the Stars Around in this Globular Cluster,Universe Today,,[''],,,
28,28,5064,canadafreepress.com,conspiracy,http://canadafreepress.com/members/1/MarkSmyth/1062,"mark smyth mer member sae ( society automotive engineers ) , mark smyth lifelong love machinery driving tractor family farm age 4 , raced boats cars 1960s 1970s , powered gasoline alcohol fuels even used hydrazine ( rocket fuel ) fuel additive drag racing , mark learned synthetic lubes chemist developed first synthetic lube oils certified us military specs back 1952 recent articles mark smyth aug 26 , 2017 — mark smyth ‘ data new oil ’ personal inmation world ’ valuable commodity noticed weeks ago tried post comment youtube video laptop , pointed icon onto comment section , showed full first last name posted comment , would agreeing setup youtube channel ? ? ? firstly , would want use full legal real name never posted video youtube google trying sucker exposing full legal name ? ? apr 21 , 2017 — mark smyth new ontario home tax offshore buyers raise $ 150 million first 2,000 homes sold guesstimate mostly one bedroom condos selling $ 250,000 another huge percentage 2,000 homes selling middle half million dollar range ’ tax rate 15 percent based selling price two bedroom condo selling $ 500,000 rate give $ 75,000 government ontario canada apr 4 , 2017 — mark smyth watched late rebroadcast version nbc news monday night host lester holt american air base south korea oldies goodies a10 warthog cold war spy u2 plane used holt gave us close report great footage inside chase car follows takeoffs u2 extreme high altitude jet flying since 1950s flies altitude 100,000 feet north korea midget dictator shoot 100,000 feet 19 miles high oct 25 , 2016 — mark smyth polls favorable donald trump may overestimating support , state polls suggest one point article fails mention la times poll takes cross-country read every day 3,000 people , making accurate national polls , one-third sample size la times poll mentions clinton ahead one point , failed honest reporting lead one day clinton 8 weeks exact poll apr 20 , 2009 — mark smyth 15 years anc , commie based political party , ruled south africa 15 years running stiff opposition upcoming election jun 30 , 2008 — mark smyth aware joint statement 76th annual us conference mayors miami past week , boycott canadian gasoline made oil sands heavy crude , pay close attention",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Mark Smyth,"Because Without America, There Is No Free World.",,[''],,,
35,35,5934,canadafreepress.com,conspiracy,http://canadafreepress.com/article/to-france-from-a-post-9-11-america-lessons-we-learned-too-late,"“ voice voice , people always brought bidding leaders tell attacked denounce pacifists lack patriotism exposing country danger works country ” —hermann goering , german military commander hitler ’ designated successor lessons united states learned late allowing freedoms eviscerated exchange phantom promise security remains seen whether france , standing united states 14 years ago , follow america ’ footsteps grapples best way shore defenses , draw delicate line balancing security liberty , means secure justice whose lives taken , sense shock shocking images carnage grief dominating news disbelief anyone could hateful , monstrous , evil another human outpourings support unity around world shared fear could easily happened us loved ones beware mammoth legislation expands government ’ powers citizenry ’ expense rushed congress mere 45 days 9/11 attacks , usa patriot act drove stake heart bill rights , undermined civil liberties , expanded government ’ powers opened door far-reaching surveillance government american citizens pre-emptive strikes lead blowback content wage war afghanistan , served base osama bin laden , us embarked pre-emptive war iraq order “ stop adversary challenging america ’ military superiority adopt strike-first policy terrorist threats ‘ bee 're fully med ’ ” still suffering consequences failed policy , resulted lives lost , taxpayer dollars wasted , fomenting hatred us radicalization terrorist cells war costly many reasons go war , advocated us remain war , year year , entities profited endless military occupations exercises thus far , us taxpayer made shell $ 16 trillion “ military operations , training security ces afghanistan iraq , weapons maintenance , base support , reconstruction , embassy maintenance , eign aid , veterans ’ medical care , well war-related intelligence operations tracked pentagon ” since 2001 estimates account war-related spending , veterans ’ benefits various promissory notes place figure closer $ 44 trillion also include 210,000 civilians killed far , 76 million refugees displaced homes result endless drone strikes violence advocating torture makes better terrorists horrors took place abu ghraib , american-run prison iraq , continue shock decency photographs leaked media depicted “ us military personnel humiliating , hurting abusing iraqi prisoners myriad perverse ways american servicemen women smiled gave thumbs , naked men threatened dogs , hooded , ced sexual positions , placed standing wires attached bodies , left bleeding prison floors ” adding descent moral depravity , united states government legalized use torture , including waterboarding , violation international law continues sanction human rights violations pursuit national security ramifications far-reaching , local police employing similar torture tactics secret locations homan square chicago allowing government spy citizenry reduce acts terrorism , result watched , submissive , surveillance society byproduct post 9/11-age live , whether ’ walking store , driving car , checking email , talking friends family phone , sure government agency , whether nsa entity , listening tracking behavior ’ even begin touch corporate trackers google monitor purchases , web browsing , facebook posts activities taking place cyber sphere becoming data collected government files chilling effect endless surveillance anxious submissive citizenry ’ become distracted news cycle lose sight government average american hard time keeping remembering “ events , ” manufactured otherwise , occur like clockwork keep us distracted , deluded , amused , insulated reality american police state whether events critical unimportant , ’ bombarded wall-to-wall news coverage news cycles change every days , ’ difficult stay focused one thing—namely , holding government accountable abiding rule law—and powers-that-be understand way , regularly scheduled trivia and/or distractions keep citizenry tuned various breaking news headlines entertainment spectacles also keep tuned government ’ steady encroachments freedoms stop holding government accountable rule law , laws abides ones used clamp citizenry failed hold government officials accountable abiding rule law , american people found saddled government skirts , flouts violates constitution little consequence overcriminalization , asset feiture schemes , police brutality , profit-driven prisons , warrantless surveillance , swat team raids , indefinite detentions , covert agencies , secret courts egregious practices carried government operates beyond reach law turn country battlefield , citizens enemy combatants , law encement officers extensions military standing army—something propelled early colonists revolution—strips citizenry vestige freedom semblance freedom tanks streets , military encampments cities , blackhawk helicopters armed drones patrolling overhead ? reason established america vested control military civilian government , civilian commander-in-chief want military government , ruled ce rather , opted republic bound rule law us constitution untunately , america find struggling retain semblance freedom face police law encement agencies look act like military little regard fourth amendment , laws ndaa allow military arrest indefinitely detain american citizens , military drills acclimate american people sight armored tanks streets , military encampments cities , combat aircraft patrolling overhead long remain fearful distrustful , incapable standing united threats posed power-hungry government early , us officials solved problem implement authoritarian policies without incurring citizen uprising fear powers-that-be want us feel threatened ces beyond control ( terrorists , shooters , bombers ) want us afraid dependent government militarized armies safety well-being , want us distrustful , divided prejudices , ’ throats trade freedom security , terrorists win ’ walked strange harrowing road since september 11 , 2001 , littered debris once-vaunted liberties gone nation took great pride model representative democracy model persuade freedom-loving people march lockstep police state , proven osama bin laden right warned “ freedom human rights america doomed us government lead american people — west general — unbearable hell choking life ” sum things , destruction began 9/11 terror attacks expanded all-out campaign terror , trauma , acclimation indoctrination aimed getting americans used life american police state bogeyman ’ names faces change time , end result remains unquestioning acquiescence anything government wants exchange phantom promise safety security transitioned us life society government agents routinely practice violence citizens , conjunction corporate state , spying intimate details personal lives lesson learned , document book battlefield america war american people , simply start road towards police state , difficult turn back",2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,To France from a Post-9/11 America: Lessons We Learned Too Late,"John W. Whitehead, Because Without America, There Is No Free World.",,[''],,,
